archive_by_user,city,created_at,image_count,desc,image_count,mileage,platform,price,title,type,year
False,Tehran,Thursday 07PM,0,گوشی سالم ونو,0,,mobile,250000,گوشی آیفون مدلs7,,
True,Shiraz,Thursday 03PM,0,"سلام 
4s 64gig LLAسفید 
عکس نذاشتم چون یه نقطه هم خط و خش نداره
همراه با یک گلاس و بک کاور
ب شرط اصلی
تخفیف جزئی بخاطر نداشتن هندزفری
جوابگو تماس فقط",0,,mobile,550000,آیفون 4s 64gig,,
True,Shiraz,Wednesday 01PM,3,"با سلام 

فروش گوشی اس6 سفید 32 گیگ

فقط گوشی لایو دمو میباشد که سیمکارت نمیخورد 

تمیززز در حد نو میباشد 

فقط خود گوشی هست 

با تشکر",3,,mobile,550000,گوشی موبایل سامسونگ اس6 لایو دمو,,
False,Tabriz,Sunday 07PM,3,گوشی در حد آک و بدون تعمیر.,3,,mobile,90000,فروش گوشی عطیقه نوکیا ۱۱۰۰.,,
True,Ahvaz,Friday 02PM,2,گوشی مدل پایین تمیزه,2,,mobile,300000,گوشی سامسونگ مدل پایین,,
True,Shiraz,Saturday 06PM,3,خیلی خیلی تمیز هست واز لحاظ باطری که حرف نداره برا همین میتونین تست کنین که خیالتون راحت شه فقط فقط فروشی هست و تماس جوابگو هستم.,3,,mobile,1000000,iPhone5s32گری,,
True,Shiraz,Thursday 06AM,1,به صورت نقد و اقساط.با تشکر از مدیریت دیوار,1,,mobile,500000,گوشی های جدید جی ال ایکس با گارانتی,,
False,Tehran,Sunday 09PM,3,دو سیم کارت.یک سال و نیم کارکرده خیلی تمیز و سالم. نوک مدادی به همراه جعبه و هدفون و شارژر و طلق ضد خش و محافظ.,3,,mobile,520000,گوشی سامسونگ e5 در حد نو,,
False,Karaj,Friday 12PM,2,سالم بدون ایراد از اولم دست خودم بوده,2,,mobile,250000,گوشی هواوی  g610,,
True,Tehran,Tuesday 06AM,1,سالم به شرط در‌lla,1,,mobile,1300000,ایفون۶‌گلد‌۱۶‌گیگ,,
True,Ahvaz,Wednesday 11AM,0,ایفون ٥ s ، ٦٤ گیگ بدون خش، رفرش نیست، سفید رنگ,0,,mobile,1250000,گوشی ایفون s5,,
