,cat1,cat2,cat3
0,for-the-home,furniture-and-home-decore,tables-and-chairs
1,electronic-devices,mobile-tablet,tablet
2,for-the-home,furniture-and-home-decore,tv-and-stereo-furniture
3,businesses,equipments-and-machinery,
4,vehicles,cars,light
5,leisure-hobbies,animals,birds
6,for-the-home,health-beauty,
7,electronic-devices,game-consoles-and-video-games,
8,for-the-home,furniture-and-home-decore,antiques-and-art
9,vehicles,cars,light
10,electronic-devices,audio-video,
11,for-the-home,furniture-and-home-decore,carpets
12,personal,clothing-and-shoes,clothing
13,leisure-hobbies,book-student-literature,educational
14,personal,jewelry-and-watches,watches
15,vehicles,cars,
16,leisure-hobbies,animals,birds
17,vehicles,cars,light
18,leisure-hobbies,animals,birds
19,businesses,equipments-and-machinery,industrial
20,for-the-home,furniture-and-home-decore,tables-and-chairs
21,personal,clothing-and-shoes,clothing
22,leisure-hobbies,animals,fish
23,for-the-home,furniture-and-home-decore,sofa-armchair
24,for-the-home,furniture-and-home-decore,storage
25,vehicles,cars,light
26,vehicles,parts-accessories,
27,vehicles,parts-accessories,
28,electronic-devices,mobile-tablet,mobile-phones
29,electronic-devices,mobile-tablet,mobile-phones
30,vehicles,cars,light
31,electronic-devices,computers,printer-scaner-copier
32,vehicles,cars,light
33,electronic-devices,phone,
34,for-the-home,furniture-and-home-decore,sofa-armchair
35,electronic-devices,mobile-tablet,mobile-phones
36,for-the-home,furniture-and-home-decore,storage
37,personal,clothing-and-shoes,clothing
38,electronic-devices,utensils-and-appliances,mobile-phones
39,businesses,batch,
40,vehicles,cars,light
41,for-the-home,utensils-and-appliances,cookware-tableware
42,for-the-home,utensils-and-appliances,cookware-tableware
43,businesses,equipments-and-machinery,industrial
44,for-the-home,furniture-and-home-decore,sofa-armchair
45,for-the-home,furniture-and-home-decore,sofa-armchair
46,vehicles,cars,light
47,electronic-devices,cars,light
48,electronic-devices,audio-video,tv-projector
49,businesses,equipments-and-machinery,industrial
50,leisure-hobbies,bicycle,
51,vehicles,cars,light
52,electronic-devices,mobile-tablet,mobile-phones
53,for-the-home,utensils-and-appliances,cookware-tableware
54,electronic-devices,computers,desktops
55,for-the-home,furniture-and-home-decore,tables-and-chairs
56,for-the-home,furniture-and-home-decore,tables-and-chairs
57,electronic-devices,computers,modem-and-network-equipment
58,vehicles,cars,light
59,for-the-home,furniture-and-home-decore,tables-and-chairs
60,vehicles,cars,light
61,vehicles,cars,light
62,vehicles,cars,light
63,for-the-home,furniture-and-home-decore,jewelry
64,personal,baby-and-toys,childrens-furniture
65,vehicles,cars,light
66,personal,clothing-and-shoes,shoes-belt-bag
67,leisure-hobbies,animals,birds
68,vehicles,cars,light
69,for-the-home,utensils-and-appliances,fridge-and-freezer
70,vehicles,cars,light
71,electronic-devices,mobile-tablet,mobile-phones
72,electronic-devices,mobile-tablet,mobile-phones
73,vehicles,cars,light
74,vehicles,parts-accessories,
75,electronic-devices,game-consoles-and-video-games,
76,personal,clothing-and-shoes,clothing
77,for-the-home,furniture-and-home-decore,beds-bedroom
78,for-the-home,furniture-and-home-decore,carpets
79,for-the-home,furniture-and-home-decore,antiques-and-art
80,electronic-devices,game-consoles-and-video-games,
81,for-the-home,furniture-and-home-decore,
82,vehicles,parts-accessories,
83,for-the-home,furniture-and-home-decore,storage
84,for-the-home,furniture-and-home-decore,tables-and-chairs
85,vehicles,building-and-garden,
86,for-the-home,furniture-and-home-decore,textile-ornaments
87,for-the-home,furniture-and-home-decore,offices
88,personal,clothing-and-shoes,shoes-belt-bag
89,electronic-devices,utensils-and-appliances,
90,electronic-devices,audio-video,camera-camcoders
